Title,Author,Quantity,Genre
Amazing but True Sports Stories,Phyllis and Zander Hollander,2,Literature
Amazing But True Sports Stories,"Phyllis Hollander, Zander Hollander",1,Literature
Amazing Escapes,Schoolastic,1,General Knowledge
Amazing Grace,"Mary Hoffman, Caroline Binch",1,General Knowledge
Amazing Inventions,Melivn and Gilda Berger,1,General Knowledge
amazing lizards,trevor smith,1,General Knowledge
Amazing Ocean Animal,John Farndon,3,Science
amazing school records,guiness world records,1,General Knowledge
Amazing School REcords,Scholastic,1,General Knowledge
Amazing Space Facts,Dinah L. Moche,1,Science
amazon fever,kathleen zoefeld,1,General Knowledge
Amber Brown Goes Fourth,Paula Danziger,1,General Knowledge
Amber brown is feeling blue,paula danziger,1,General Knowledge
Amber Brown Is Green with Envy,Paula Danziger,1,General Knowledge
Amber Brown is not a Crayon,Paula Danziger,2,General Knowledge
Amber Brown Sees Red,Paula Danziger,1,General Knowledge
Amelia and eleanor go for a ride,Pam Munoz Ryan,1,General Knowledge
Amelia Bedelia,Peggy Parish,5,General Knowledge
Amelia Bedelia and the Baby,Peggy Parish,3,General Knowledge
Amelia Bedelia And the Suprise Shower,Peggy Parish,1,General Knowledge
Amelia Bedelia and the Surprise Shower,Peggy Parish,1,General Knowledge
amelia bedelia bookworm,herman parish,1,General Knowledge
Amelia Bedelia Goes Wild,Herman Parish,1,General Knowledge
Amelia Bedelia’s Family Album,Peggy Parish,1,General Knowledge
Amelia Writes Again,Marissa Moss,3,General Knowledge
America's Fascinating Indian Heritage,Reader's Digest,1,General Knowledge
American Grub,Mark A. Hicks,1,General Knowledge
Among the Barons,Margaret Peterson Haddix,1,General Knowledge
Among the Betrayed,Margaret Peterson haddix,1,General Knowledge
among the hidden,margarent pertson haddix,1,General Knowledge
Among the Hidden,Margaret Peterson Haddis,3,General Knowledge
Among the Hidden,Margaret Peterson Haddix,3,General Knowledge
among the hidden,margret peterson haddix,2,General Knowledge
Among The Impostors,Margaret Peterson Haddix,2,General Knowledge
Amos Fortune Free Man,Elizabeth Yates,1,General Knowledge
"An American Family, Book Six: 1877, The Debt",S.D. Jones,1,General Knowledge
An American Plague,Jim Murphy,1,General Knowledge
An Early American Christmas,Tomie dePaola,1,General Knowledge
An Even Break,Sid Hite,1,General Knowledge
An Indian Winter,Russell Freedman,2,General Knowledge
An Inside Look at the U.S. Navy Seals,Joe Funk,1,General Knowledge
an old fashioned thanksgiving,louisa may alcott,1,General Knowledge
Anansi The Spider,Gerald McDermott,1,General Knowledge
And Now Miguel,Joseph Krum,1,General Knowledge
"And Now, A Word from Our Sponsor","Thomas Hoobler, Dorothy Hoobler",2,General Knowledge
And So they Build,Bert Kitchen,2,General Knowledge
andersen,hans christian,1,General Knowledge
Andrew's Loose Tooth,Robert Munsch,1,General Knowledge
andy and the lion,james daugherty,1,General Knowledge
Andy Shane and the Pumpkin Trick,Jennifer Richard Jacobson,1,Arts and Recreation
Angel of Hope,Lurlene McDaniel,1,General Knowledge
Angelina and the Butterfly,Katherine Holabird,1,General Knowledge
